incidente_id,tipo_incidente,prioridad_final,confianza,score,n_reglas,reglas,n_ausentes
1285180907047,trafico,P1,media,30.36,1,RD1,9
1285180903359,trafico,P1,media,30.36,1,RD1,9
1285180826987,trafico,P1,baja,26.6,1,RD1,10
1285180805953,trafico,P4,baja,0.0,0,,11
1285180747615,trafico,P1,media,30.36,1,RD1,9
1285180711966,trafico,P1,media,30.36,1,RD1,9
1285180338359,trafico,P4,baja,0.0,0,,11
1285180267620,trafico,P4,baja,0.0,0,,11
1285180080817,sanitario,P1,media,30.36,1,RD1,9
1285179797484,sanitario,P4,baja,0.0,0,,11
1285179426079,trafico,P1,media,30.36,1,RD1,9
1285178975669,trafico,P1,baja,26.6,1,RD1,10
1285178954726,trafico,P1,media,30.36,1,RD1,9
1285178908968,trafico,P1,baja,26.6,1,RD1,10
1285178889387,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285178541972,rescate,P4,baja,0.0,0,,11
1285178540056,trafico,P1,media,30.36,1,RD1,9
1285178470587,rescate,P4,baja,0.0,0,,11
1285178466466,trafico,P4,baja,0.0,0,,11
1285178465719,trafico,P1,baja,26.6,1,RD1,10
1285178454338,trafico,P4,baja,0.0,0,,11
1285178400864,trafico,P4,baja,0.0,0,,11
1285178372766,trafico,P1,baja,26.6,1,RD1,10
1285177952402,trafico,P4,baja,0.0,0,,11
1285177913091,trafico,P4,baja,0.0,0,,11
1285177595869,trafico,P1,baja,26.6,1,RD1,10
1285177593188,sanitario,P4,baja,0.0,0,,11
1285177121722,trafico,P1,baja,26.6,1,RD1,10
1285177119782,trafico,P1,baja,26.6,1,RD1,10
1285177013534,trafico,P4,baja,0.0,0,,11
1285176700850,trafico,P1,baja,26.6,1,RD1,10
1285176553964,trafico,P1,media,30.36,1,RD1,9
1285176356863,rescate,P1,baja,26.6,1,RD1,10
1285176174531,trafico,P4,baja,0.0,0,,11
1285176169516,trafico,P4,baja,0.0,0,,11
1285176166347,trafico,P1,baja,26.6,1,RD1,10
1285176120182,trafico,P4,baja,0.0,0,,11
1285176118779,rescate,P4,baja,0.0,0,,11
1285176113968,trafico,P1,baja,26.6,1,RD1,10
1285176108969,incendio_vivienda,P4,baja,0.0,0,,11
1285176091428,trafico,P1,baja,26.6,1,RD1,10
1285176043032,trafico,P1,media,30.36,1,RD1,9
1285176002729,trafico,P4,baja,0.0,0,,11
1285175700161,trafico,P1,baja,26.6,1,RD1,10
1285175266756,trafico,P1,baja,26.6,1,RD1,10
1285175264980,trafico,P1,baja,26.6,1,RD1,10
1285174744486,trafico,P1,baja,26.6,1,RD1,10
1285174726832,rescate,P4,baja,0.0,0,,11
1285174327213,sanitario,P1,media,30.36,1,RD1,9
1285174147597,trafico,P4,baja,0.0,0,,11
1285173825086,trafico,P1,media,30.36,1,RD1,9
1285173821466,trafico,P1,baja,26.6,1,RD1,10
1285173820585,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285173818356,trafico,P1,media,30.36,1,RD1,9
1285173783052,trafico,P1,baja,26.6,1,RD1,10
1285173777485,trafico,P1,baja,26.6,1,RD1,10
1285173772617,trafico,P4,baja,0.0,0,,11
1285173087052,trafico,P1,media,30.36,1,RD1,9
1285173033923,trafico,P1,media,30.36,1,RD1,9
1285172398006,incendio_vivienda,P4,baja,0.0,0,,11
1285172377143,trafico,P1,media,30.36,1,RD1,9
1285172005532,trafico,P1,baja,26.6,1,RD1,10
1285171999798,trafico,P1,baja,26.6,1,RD1,10
1285171942805,trafico,P4,baja,0.0,0,,11
1285171569202,trafico,P1,media,30.36,1,RD1,9
1285171521572,trafico,P4,baja,0.0,0,,11
1285171518619,rescate,P1,media,30.36,1,RD1,9
1285171516447,trafico,P1,media,30.36,1,RD1,9
1285171514458,trafico,P1,baja,26.6,1,RD1,10
1285171463112,trafico,P4,baja,0.0,0,,11
1285171461423,trafico,P1,media,30.36,1,RD1,9
1285171458208,trafico,P4,baja,0.0,0,,11
1285171359216,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285171340912,trafico,P1,media,30.36,1,RD1,9
1285170791285,trafico,P1,baja,26.6,1,RD1,10
1285170545028,trafico,P1,media,30.36,1,RD1,9
1285170342720,trafico,P1,media,30.36,1,RD1,9
1285170056774,incendio_vivienda,P4,baja,0.0,0,,11
1285169943383,inundacion,P1,baja,39.82,1,RD1,8
1285169931691,trafico,P1,baja,26.6,1,RD1,10
1285169492324,trafico,P1,baja,26.6,1,RD1,10
1285169018806,incendio_vivienda,P4,baja,0.0,0,,11
1285169017064,trafico,P1,baja,26.6,1,RD1,10
1285168929797,trafico,P4,baja,0.0,0,,11
1285168689906,trafico,P1,media,30.36,1,RD1,9
1285167711208,trafico,P1,baja,26.6,1,RD1,10
1285167687168,trafico,P1,media,30.36,1,RD1,9
1285167593233,trafico,P1,baja,26.6,1,RD1,10
1285167261445,trafico,P1,baja,26.6,1,RD1,10
1285167246622,trafico,P4,baja,0.0,0,,11
1285167012695,trafico,P1,media,30.36,1,RD1,9
1285166920333,trafico,P1,baja,26.6,1,RD1,10
1285166874196,trafico,P1,media,30.36,1,RD1,9
1285166865577,sanitario,P4,baja,0.0,0,,11
1285166860918,sanitario,P4,baja,0.0,0,,11
1285166859617,incendio_vivienda,P4,baja,0.0,0,,11
